test/aes/1Fresh/AES_GF256_Inversion_1fresh.nl,0.515799,791,0,121,0.744434,1,"4,8",176,0,80,1.935152,1,"4,8",0.002927,0
test/aes/cms/aes_sbox_cms1.nl,0.504796,746,0,458,0.375184,1,"8,16",192,0,176,0.428923,1,"8,16",51.339405,1
test/aes/dom/aes_sbox_dom1.nl,0.353488,644,0,356,0.355949,1,"8,16",240,8,164,4.317492,1,"8,16",0.746076,1
test/aes/NoFresh/AES_GF256_Inversion_NOfresh.nl,0.304210,948,0,77,1.027635,1,"4,8",240,4,96,1.819117,1,"4,8",0.428536,0
test/aes/TI/inversion_TI.nl,0.421867,664,0,375,0.338418,1,"8,16",112,0,112,0.594997,1,"8,16",1311.582524,1
test/prince/d1/PRINCESboxInv_NF.nl,0.050600,210,0,37,0.021847,1,"4,8",40,0,32,0.003516,1,"4,8",0.000550,0
test/prince/d1/PRINCESbox_NF.nl,0.044399,171,0,42,0.014392,1,"4,8",40,0,32,0.003989,1,"4,8",0.000968,0
test/prince/d1/prince_sbox_dusan_CMS1.nl,0.045958,220,0,99,0.015298,1,"4,8",40,4,32,0.004550,1,"4,8",0.001812,1
test/prince/d1/prince_sbox_TI1.nl,0.043203,122,0,29,0.014233,1,"138,39",37,15,15,0.027880,1,"150,100",0.009642,1
test/prince/d2/sbox/PRINCE_Sbox.nl,0.076582,637885,0,265322,4842.170825,2,"4,8,12",7260,208,6501,96.686718,2,"4,8,12",0.102672,1
test/prince/d2/sbox/TwoSboxes.nl,0.180264,1805950,0,781301,28784.931880,2,"8,16,24",28920,625,26884,1610.451161,2,"8,16,24",103.154194,1
test/present/sharedSbox_non-uniform.nl,0.282165,12,0,10,0.003451,0,"138",7,0,6,0.001748,0,"160",0.007042,0
test/present/sharedSbox_uniform1.nl,0.064943,155,0,70,0.012185,1,"105,101",26,0,13,0.013665,1,"108,115",0.006877,1
test/present/sharedSbox_uniform2.nl,0.061421,360,0,58,0.065588,1,"177,205",25,0,12,0.014332,1,"187,199",0.006652,1
test/present/present_sbox_nf1.nl,0.043763,142,0,37,0.010303,1,"4,8",36,0,30,0.003346,1,"4,8",0.001796,1
test/keccak/NF/Chi_NoFresh.nl,0.030917,66,0,46,0.002216,1,"5,10",30,0,22,0.000889,1,"5,10",0.016856,1
test/keccak/dom/keccak_sbox1_nf.nl,0.029098,81,0,51,0.002614,1,"5,10",30,0,20,0.000906,1,"5,10",0.005481,0
test/keccak/dom/keccak_sbox1.nl,0.037900,91,0,71,0.002625,1,"5,10",30,0,30,0.000767,1,"5,10",0.009877,1
test/keccak/dom/keccak_sbox2.nl,0.051204,17955,0,10265,1.991551,2,"5,10,15",1830,69,1650,0.183126,2,"5,10,15",0.129398,1
test/keccak/dom/keccak_sbox3.nl,0.058998,7906623,0,3626245,37015.385299,3,"5,10,15,20",166750,7384,137460,258.658443,3,"5,10,15,20",3.721254,1
test/keccak/low-latency/1/keccak_sbox.nl,0.066926,65,0,45,0.002392,1,"1,2",20,0,20,0.000565,1,"1,2",0.164423,0
test/keccak/low-latency/2/keccak_sbox.nl,0.063005,9180,0,4010,1.191075,2,"1,2,3",1035,0,1035,0.070054,2,"1,2,3",0.049868,0
test/keccak/low-latency/3/keccak_sbox.nl,0.090414,2028025,0,540440,15484.021096,3,"1,2,3,4",85400,0,85400,13.757839,3,"1,2,3,4",0.329937,0
test/Midori/d1/MidoriSbox.nl,0.646046,168,0,27,0.022853,1,"4,8",36,0,28,0.023737,1,"4,8",0.006742,1
test/Midori/d2/Midori_Sbox.nl,0.978239,584821,0,221554,5324.114694,2,"4,8,12",5886,0,5790,12.065764,2,"4,8,12",0.083650,1
test/Midori/d2/TwoSboxes.nl,0.148181,1449253,0,605043,21672.609068,2,"8,16,24",23436,0,23244,52.075648,2,"8,16,24",41.553495,1
test/skinny/d1/skinny_sbox8_CMS1.nl,0.050191,96,0,51,0.012533,1,"8,16",96,12,66,0.029387,1,"8,16",0.086955,1
test/skinny/d1/skinny_sbox8_TI1.nl,0.923180,180,0,95,0.521387,1,"165,92",102,3,93,2.031238,1,"106,174",222.284530,1
test/skinny/d2/SKINNY_SBOX.nl,0.068684,238395,0,119984,339.051255,2,"4,8,12",3570,36,3423,18.864220,2,"4,8,12",0.060153,1
test/skinny/d2/TwoSboxes.nl,0.120804,678030,0,363032,1689.203134,2,"8,16,24",14196,152,13735,112.288863,2,"8,16,24",33.677601,1
